,Customer ID,RECENCY,FREQUENCY,MONETARY,FINAL_CLUSTER,SEGMENT
3887,16796.0,88,11,199.44000000000003,1,Low-Value
1447,14303.0,406,15,199.45999999999998,2,Mid-Value
2702,15593.0,70,5,199.8,1,Low-Value
1082,13932.0,294,10,199.8,2,Mid-Value
842,13679.0,493,32,199.95999999999998,0,Lost Customer
1915,14782.0,319,6,200.10000000000002,2,Mid-Value
5259,18197.0,575,8,200.1,0,Lost Customer
1080,13930.0,57,10,200.53999999999996,1,Low-Value
2177,15060.0,7,65,200.73,1,Low-Value
1056,13904.0,36,15,200.76000000000002,1,Low-Value
294,13114.0,730,14,200.78,0,Lost Customer
3295,16195.0,722,10,200.85000000000002,0,Lost Customer
3018,15914.0,377,12,200.94999999999996,2,Mid-Value
5066,18002.0,375,38,201.01999999999998,2,Mid-Value
5219,18157.0,570,22,201.25,0,Lost Customer
2889,15783.0,10,11,201.30000000000004,1,Low-Value
4581,17506.0,75,9,201.50000000000003,1,Low-Value
4624,17551.0,358,25,201.54000000000002,2,Mid-Value
4438,17355.0,385,21,201.64999999999998,2,Mid-Value
2213,15096.0,42,10,201.69,1,Low-Value
1413,14268.0,470,11,201.7,2,Mid-Value
1188,14039.0,32,6,201.88,1,Low-Value
2512,15401.0,451,13,201.95000000000002,2,Mid-Value
4409,17326.0,407,46,201.99999999999997,2,Mid-Value
4140,17055.0,445,20,202.35000000000002,2,Mid-Value
3001,15897.0,193,20,202.76,1,Low-Value
4159,17074.0,562,4,203.05,0,Lost Customer
3424,16328.0,562,10,203.13,0,Lost Customer
1911,14777.0,402,11,203.15999999999997,2,Mid-Value
3400,16302.0,126,9,203.22,1,Low-Value
528,13352.0,59,12,203.22,1,Low-Value
450,13272.0,30,11,203.51000000000002,1,Low-Value
3523,16427.0,262,8,203.56,2,Mid-Value
3683,16591.0,68,9,203.60000000000002,1,Low-Value
3066,15962.0,448,33,203.70000000000002,2,Mid-Value
4933,17868.0,385,15,203.75,2,Mid-Value
453,13275.0,383,27,203.78,2,Mid-Value
4477,17394.0,218,4,203.86999999999995,2,Mid-Value
2826,15718.0,539,12,203.91,0,Lost Customer
2131,15014.0,42,21,203.95999999999998,1,Low-Value
200,13017.0,6,1,204.0,1,Low-Value
2999,15894.0,252,24,204.08000000000004,2,Mid-Value
307,13127.0,77,11,204.62,1,Low-Value
1338,14192.0,387,9,204.64,2,Mid-Value
3831,16740.0,394,25,204.71,2,Mid-Value
3434,16338.0,156,10,204.90000000000003,1,Low-Value
1771,14635.0,453,14,205.02,2,Mid-Value
521,13345.0,287,10,205.04999999999998,2,Mid-Value
4187,17103.0,721,15,205.33,0,Lost Customer
2453,15338.0,676,36,205.38,0,Lost Customer
2012,14881.0,19,13,205.48000000000002,1,Low-Value
5300,18238.0,514,10,205.51999999999998,0,Lost Customer
3090,15986.0,29,14,205.57999999999998,1,Low-Value
1662,14523.0,107,11,205.69000000000003,1,Low-Value
4178,17093.0,592,11,205.88,0,Lost Customer
1296,14149.0,220,13,206.11,2,Mid-Value
2081,14964.0,246,13,206.21,2,Mid-Value
4000,16911.0,635,26,206.34999999999997,0,Lost Customer
1750,14614.0,385,13,206.48000000000002,2,Mid-Value
1769,14633.0,265,12,206.64999999999998,2,Mid-Value
1158,14008.0,431,12,206.73,2,Mid-Value
2926,15820.0,319,17,206.98000000000002,2,Mid-Value
280,13099.0,98,1,207.35999999999999,1,Low-Value
2054,14927.0,396,13,207.4,2,Mid-Value
3843,16752.0,372,9,207.5,2,Mid-Value
4290,17207.0,651,35,207.67000000000002,0,Lost Customer
4980,17915.0,550,23,207.82999999999998,0,Lost Customer
4053,16964.0,732,6,207.85,0,Lost Customer
430,13251.0,401,20,207.87999999999997,2,Mid-Value
4107,17022.0,30,12,207.98,1,Low-Value
2047,14919.0,538,8,208.15,0,Lost Customer
3553,16457.0,217,9,208.36,2,Mid-Value
716,13551.0,318,3,208.49999999999997,2,Mid-Value
468,13290.0,437,1,208.63,2,Mid-Value
4861,17793.0,24,27,208.66999999999996,1,Low-Value
3498,16402.0,264,27,208.8,2,Mid-Value
485,13307.0,119,11,209.33999999999997,1,Low-Value
2301,15185.0,69,12,209.34,1,Low-Value
2228,15112.0,610,7,209.4,0,Lost Customer
815,13651.0,34,13,209.45000000000002,1,Low-Value
4200,17116.0,647,26,209.53,0,Lost Customer
1068,13917.0,49,14,209.88000000000002,1,Low-Value
3191,16089.0,385,34,209.89,2,Mid-Value
3679,16587.0,231,12,210.14999999999995,2,Mid-Value
2661,15552.0,216,25,210.31999999999996,2,Mid-Value
10,12821.0,213,12,210.6,2,Mid-Value
2348,15232.0,112,9,210.76,1,Low-Value
2811,15703.0,264,5,211.5,2,Mid-Value
4840,17772.0,10,46,211.7,1,Low-Value
2102,14985.0,197,45,212.35999999999999,1,Low-Value
1504,14363.0,401,7,212.47,2,Mid-Value
166,12983.0,597,13,212.58,0,Lost Customer
997,13844.0,10,11,212.74,1,Low-Value
3588,16492.0,540,12,212.88,0,Lost Customer
544,13369.0,365,9,212.88000000000002,2,Mid-Value
978,13825.0,621,28,212.9,0,Lost Customer
2645,15536.0,408,12,213.49,2,Mid-Value
4699,17626.0,602,14,213.56,0,Lost Customer
98,12914.0,400,8,213.9,2,Mid-Value
1737,14601.0,10,7,213.96000000000004,1,Low-Value
2989,15884.0,431,10,214.00000000000003,2,Mid-Value
3733,16641.0,105,13,214.18000000000004,1,Low-Value
4265,17182.0,422,3,214.2,2,Mid-Value
576,13403.0,17,8,214.5,1,Low-Value
1254,14106.0,736,1,214.79999999999998,0,Lost Customer
4937,17872.0,381,13,215.07,2,Mid-Value
3358,16259.0,409,47,215.09,2,Mid-Value
4142,17057.0,595,29,215.44000000000003,0,Lost Customer
40,12851.0,96,53,215.60999999999996,1,Low-Value
621,13449.0,23,12,216.11999999999998,1,Low-Value
1793,14658.0,4,23,216.31,1,Low-Value
3193,16091.0,154,13,216.36000000000004,1,Low-Value
509,13331.0,401,9,216.5,2,Mid-Value
4145,17060.0,265,4,216.54000000000002,2,Mid-Value
4561,17486.0,260,14,217.17,2,Mid-Value
322,13142.0,18,15,217.28000000000003,1,Low-Value
1387,14241.0,183,7,217.3,1,Low-Value
4848,17780.0,666,42,217.34999999999997,0,Lost Customer
3351,16252.0,382,15,217.76999999999998,2,Mid-Value
2700,15591.0,582,7,217.9,0,Lost Customer
309,13129.0,451,10,218.25,2,Mid-Value
1901,14767.0,473,9,218.42999999999998,2,Mid-Value
2637,15528.0,253,19,218.46999999999994,2,Mid-Value
3812,16721.0,261,22,218.47,2,Mid-Value
2203,15086.0,564,11,218.53000000000003,0,Lost Customer
4714,17643.0,372,15,218.74999999999997,2,Mid-Value
1766,14630.0,483,14,218.95,0,Lost Customer
2236,15120.0,133,11,219.22,1,Low-Value
1670,14531.0,479,16,219.32000000000002,0,Lost Customer
3636,16542.0,53,11,219.52000000000004,1,Low-Value
3766,16674.0,54,55,219.91,1,Low-Value
793,13628.0,675,10,220.29000000000002,0,Lost Customer
3775,16683.0,533,12,220.35000000000002,0,Lost Customer
1457,14314.0,106,9,220.44,1,Low-Value
1438,14294.0,406,12,220.88000000000002,2,Mid-Value
3411,16313.0,2,13,221.05,1,Low-Value
935,13773.0,396,15,221.14000000000004,2,Mid-Value
3884,16793.0,56,14,221.15999999999997,1,Low-Value
596,13424.0,449,15,221.16999999999996,2,Mid-Value
2007,14876.0,520,11,221.29999999999998,0,Lost Customer
2882,15776.0,132,16,221.76000000000002,1,Low-Value
5180,18117.0,25,48,221.80000000000004,1,Low-Value
2894,15788.0,508,14,221.83000000000004,0,Lost Customer
4383,17300.0,390,27,222.03999999999996,2,Mid-Value
749,13584.0,306,37,222.13,2,Mid-Value
4975,17910.0,725,20,222.2,0,Lost Customer
239,13058.0,24,6,222.35,1,Low-Value
2312,15196.0,432,29,222.5,2,Mid-Value
1192,14043.0,490,32,222.6,0,Lost Customer
3899,16808.0,98,12,222.66,1,Low-Value
4779,17710.0,423,15,222.7,2,Mid-Value
5317,18255.0,88,14,222.75,1,Low-Value
5194,18131.0,631,4,222.95999999999998,0,Lost Customer
3152,16050.0,173,16,223.00000000000003,1,Low-Value
672,13504.0,63,16,223.21,1,Low-Value
4851,17783.0,71,53,223.39999999999998,1,Low-Value
261,13080.0,178,16,223.53000000000003,1,Low-Value
2586,15475.0,76,11,223.71,1,Low-Value
3109,16006.0,210,43,223.94,2,Mid-Value
2352,15236.0,298,9,224.15,2,Mid-Value
3373,16274.0,372,31,224.61999999999998,2,Mid-Value
106,12922.0,160,14,224.99,1,Low-Value
804,13640.0,610,2,225.0,0,Lost Customer
3079,15975.0,83,15,225.45000000000002,1,Low-Value
1543,14402.0,651,4,225.6,0,Lost Customer
2159,15042.0,198,7,225.69,1,Low-Value
452,13274.0,408,10,225.70000000000002,2,Mid-Value
2358,15242.0,421,3,225.72000000000003,2,Mid-Value
2398,15282.0,569,19,226.05999999999997,0,Lost Customer
4899,17833.0,722,20,226.11,0,Lost Customer
1162,14012.0,277,8,226.5,2,Mid-Value
1930,14797.0,506,12,226.53000000000003,0,Lost Customer
2117,15000.0,47,33,226.65999999999997,1,Low-Value
4610,17536.0,176,11,227.13,1,Low-Value
5315,18253.0,642,5,228.0,0,Lost Customer
2067,14950.0,18,10,228.44,1,Low-Value
4302,17219.0,31,41,228.90999999999997,1,Low-Value
4430,17347.0,85,1,228.96,1,Low-Value
2389,15273.0,599,1,228.96,0,Lost Customer
4854,17786.0,84,55,229.35000000000002,1,Low-Value
5247,18185.0,248,12,229.55,2,Mid-Value
1758,14622.0,184,16,229.58,1,Low-Value
5153,18090.0,421,27,229.89999999999998,2,Mid-Value
4876,17808.0,548,25,229.96999999999997,0,Lost Customer
1061,13909.0,422,26,230.00000000000003,2,Mid-Value
5093,18030.0,3,9,230.64999999999995,1,Low-Value
824,13660.0,399,29,231.14999999999998,2,Mid-Value
2127,15010.0,35,13,231.24000000000004,1,Low-Value
4095,17009.0,550,10,231.61999999999998,0,Lost Customer
4163,17078.0,35,22,231.67999999999998,1,Low-Value
2068,14951.0,78,15,231.71000000000004,1,Low-Value
1014,13861.0,428,16,231.98000000000002,2,Mid-Value
2791,15682.0,598,18,231.99,0,Lost Customer
242,13061.0,71,9,232.11,1,Low-Value
1899,14765.0,28,29,232.7,1,Low-Value
3707,16615.0,625,15,232.7,0,Lost Customer
3869,16778.0,73,15,232.74,1,Low-Value
467,13289.0,723,11,232.95,0,Lost Customer
2106,14989.0,661,11,233.5,0,Lost Customer
4942,17877.0,169,11,233.86,1,Low-Value
1266,14118.0,428,9,233.9,2,Mid-Value
4979,17914.0,3,42,233.92999999999998,1,Low-Value
5323,18261.0,42,15,233.94000000000003,1,Low-Value
3598,16502.0,619,31,234.04999999999998,0,Lost Customer
1327,14181.0,410,30,234.25,2,Mid-Value
1612,14473.0,73,7,234.34,1,Low-Value
5214,18152.0,645,7,234.67000000000002,0,Lost Customer
3519,16423.0,24,11,234.88000000000002,1,Low-Value
2565,15454.0,361,29,235.24,2,Mid-Value
4982,17917.0,44,57,235.37999999999994,1,Low-Value
3068,15964.0,662,18,235.71000000000004,0,Lost Customer
3894,16803.0,64,16,235.77,1,Low-Value
4375,17292.0,471,13,235.95000000000002,2,Mid-Value
2534,15423.0,37,12,236.29000000000002,1,Low-Value
4157,17072.0,624,16,236.45,0,Lost Customer
2665,15556.0,23,22,236.52999999999997,1,Low-Value
3670,16577.0,666,14,236.8,0,Lost Customer
4237,17154.0,74,16,237.30000000000004,1,Low-Value
4957,17892.0,55,24,237.40000000000003,1,Low-Value
1409,14263.0,422,12,237.43,2,Mid-Value
1763,14627.0,378,14,237.45000000000002,2,Mid-Value
2341,15225.0,233,13,237.5,2,Mid-Value
1000,13847.0,719,14,237.52000000000004,0,Lost Customer
3225,16123.0,51,11,237.72999999999996,1,Low-Value
3418,16322.0,0,27,237.75000000000003,1,Low-Value
406,13226.0,272,21,237.76,2,Mid-Value
4905,17839.0,41,31,237.89999999999995,1,Low-Value
2017,14886.0,252,11,238.20000000000002,2,Mid-Value
3549,16453.0,530,12,238.20999999999998,0,Lost Customer
3637,16543.0,591,14,238.39000000000001,0,Lost Customer
4592,17518.0,425,46,238.45,2,Mid-Value
2502,15391.0,583,9,238.87000000000003,0,Lost Customer
377,13197.0,609,10,240.33,0,Lost Customer
1049,13896.0,625,10,240.45,0,Lost Customer
2402,15286.0,49,3,240.55,1,Low-Value
3197,16095.0,455,16,240.64999999999998,2,Mid-Value
3672,16579.0,425,11,241.04999999999998,2,Mid-Value
3239,16137.0,679,14,241.34999999999994,0,Lost Customer
5103,18040.0,18,13,241.55000000000004,1,Low-Value
747,13582.0,389,11,241.68,2,Mid-Value
4909,17843.0,302,45,241.7,2,Mid-Value
3372,16273.0,647,12,241.99,0,Lost Customer
4564,17489.0,58,17,242.4,1,Low-Value
739,13574.0,410,42,242.43999999999997,2,Mid-Value
1730,14594.0,6,35,242.47999999999996,1,Low-Value
80,12895.0,41,14,242.70000000000002,1,Low-Value
3072,15968.0,387,39,243.16000000000003,2,Mid-Value
1956,14823.0,179,49,243.28,1,Low-Value
4070,16982.0,60,14,243.38,1,Low-Value
2725,15616.0,437,10,243.60999999999999,2,Mid-Value
3053,15949.0,16,13,243.62,1,Low-Value
675,13508.0,243,24,243.66,2,Mid-Value
1499,14358.0,388,13,243.76,2,Mid-Value
146,12962.0,6,14,243.79,1,Low-Value
4990,17925.0,372,1,244.08,2,Mid-Value
2346,15230.0,238,9,244.20000000000002,2,Mid-Value
2808,15699.0,17,14,244.55,1,Low-Value
2234,15118.0,133,1,244.8,1,Low-Value
241,13060.0,253,11,244.82999999999996,2,Mid-Value
1711,14575.0,487,36,244.86000000000004,0,Lost Customer
963,13801.0,66,17,245.00000000000003,1,Low-Value
1131,13981.0,415,16,245.04,2,Mid-Value
1425,14281.0,407,7,245.15,2,Mid-Value
1073,13923.0,53,13,245.16999999999996,1,Low-Value
4576,17501.0,220,15,245.4,2,Mid-Value
2626,15517.0,232,23,245.66,2,Mid-Value
1390,14244.0,660,12,246.06,0,Lost Customer
5244,18182.0,462,9,246.13,2,Mid-Value
2271,15155.0,382,16,246.17000000000002,2,Mid-Value
3852,16761.0,96,10,246.42,1,Low-Value
3040,15936.0,378,16,246.79000000000002,2,Mid-Value
4857,17789.0,280,20,246.8,2,Mid-Value
746,13581.0,308,27,246.98000000000002,2,Mid-Value
1040,13887.0,203,13,247.28000000000003,2,Mid-Value
4790,17721.0,658,9,247.29000000000002,0,Lost Customer
2424,15308.0,273,15,247.76999999999998,2,Mid-Value
757,13592.0,35,16,247.95999999999995,1,Low-Value
1871,14736.0,484,51,248.04,0,Lost Customer
781,13616.0,567,31,248.15000000000003,0,Lost Customer
3202,16100.0,462,15,248.20000000000002,2,Mid-Value
1242,14093.0,11,47,248.26000000000002,1,Low-Value
1898,14764.0,46,5,248.3,1,Low-Value
2686,15577.0,150,38,248.58999999999992,1,Low-Value
4488,17407.0,411,8,248.70000000000002,2,Mid-Value
3047,15943.0,649,11,248.79,0,Lost Customer
3402,16304.0,694,17,249.05999999999997,0,Lost Customer
2235,15119.0,245,13,249.9,2,Mid-Value
2619,15510.0,330,1,250.0,2,Mid-Value
2843,15735.0,420,14,250.13000000000002,2,Mid-Value
2500,15387.0,491,9,250.25,0,Lost Customer
2074,14957.0,252,23,250.29,2,Mid-Value
2834,15726.0,389,16,250.34000000000003,2,Mid-Value
4650,17577.0,644,15,250.54999999999998,0,Lost Customer
3032,15928.0,655,7,250.98999999999998,0,Lost Customer
2569,15458.0,24,9,251.04,1,Low-Value
5082,18018.0,107,25,251.1899999999999,1,Low-Value
4065,16976.0,266,2,251.51999999999998,2,Mid-Value
4963,17898.0,84,40,251.57000000000002,1,Low-Value
3416,16318.0,34,14,251.89999999999998,1,Low-Value
809,13645.0,119,5,252.1,1,Low-Value
4011,16922.0,572,44,252.11999999999998,0,Lost Customer
2543,15432.0,22,13,252.20999999999998,1,Low-Value
179,12996.0,375,15,252.74999999999997,2,Mid-Value
1980,14848.0,404,9,252.95999999999998,2,Mid-Value
3945,16855.0,23,15,253.4,1,Low-Value
21,12832.0,31,18,253.63,1,Low-Value
251,13070.0,191,9,253.8,1,Low-Value
4966,17901.0,28,19,253.82999999999993,1,Low-Value
3575,16479.0,9,27,253.87999999999997,1,Low-Value
4730,17660.0,140,50,254.16,1,Low-Value
3727,16635.0,406,13,254.5,2,Mid-Value
2556,15445.0,263,12,254.50000000000003,2,Mid-Value
4208,17124.0,184,27,254.59000000000003,1,Low-Value
710,13545.0,390,30,254.59,2,Mid-Value
3395,16297.0,268,17,255.04999999999998,2,Mid-Value
771,13606.0,28,31,255.29999999999995,1,Low-Value
3979,16890.0,476,14,255.44,0,Lost Customer
1318,14172.0,604,27,255.52000000000004,0,Lost Customer
218,13036.0,684,5,256.1,0,Lost Customer
2764,15655.0,242,15,256.11,2,Mid-Value
4361,17278.0,240,15,256.12000000000006,2,Mid-Value
4961,17896.0,22,2,256.32,1,Low-Value
968,13806.0,63,10,256.38,1,Low-Value
695,13530.0,633,11,256.54,0,Lost Customer
2108,14991.0,429,18,256.86999999999995,2,Mid-Value
4947,17882.0,378,37,256.91999999999996,2,Mid-Value
3941,16850.0,333,14,256.93,2,Mid-Value
4422,17339.0,93,7,257.36,1,Low-Value
1221,14072.0,666,11,257.65000000000003,0,Lost Customer
4668,17595.0,11,47,257.68999999999994,1,Low-Value
1795,14660.0,86,25,257.84,1,Low-Value
1897,14762.0,263,17,257.98,2,Mid-Value
3034,15930.0,66,12,258.13,1,Low-Value
267,13086.0,382,30,258.38,2,Mid-Value
4555,17479.0,632,11,258.38,0,Lost Customer
4063,16974.0,522,6,258.40000000000003,0,Lost Customer
264,13083.0,3,14,258.51,1,Low-Value
4341,17258.0,396,33,258.65,2,Mid-Value
4756,17687.0,420,14,258.68,2,Mid-Value
4680,17607.0,375,16,258.99,2,Mid-Value
4045,16956.0,17,13,259.24,1,Low-Value
1219,14070.0,684,30,259.29999999999995,0,Lost Customer
1577,14436.0,98,9,259.34000000000003,1,Low-Value
3133,16030.0,309,21,259.84,2,Mid-Value
3738,16646.0,448,12,259.94,2,Mid-Value
4839,17771.0,56,46,259.98999999999995,1,Low-Value
4687,17614.0,56,53,260.2,1,Low-Value
4529,17453.0,17,13,260.21999999999997,1,Low-Value
3147,16044.0,434,14,260.39,2,Mid-Value
13,12824.0,59,14,260.5,1,Low-Value
4798,17729.0,595,15,260.59999999999997,0,Lost Customer
2278,15162.0,730,10,260.7,0,Lost Customer
3417,16319.0,217,2,261.6,2,Mid-Value
5055,17991.0,224,26,261.7,2,Mid-Value
5075,18011.0,372,35,261.73999999999995,2,Mid-Value
323,13143.0,584,14,262.0,0,Lost Customer
523,13347.0,69,6,262.15999999999997,1,Low-Value
996,13843.0,380,15,262.45,2,Mid-Value
4641,17568.0,632,37,262.50999999999993,0,Lost Customer
2449,15334.0,156,63,262.64,1,Low-Value
4442,17359.0,10,33,263.48,1,Low-Value
3874,16783.0,436,16,263.5,2,Mid-Value
308,13128.0,630,1,263.5,0,Lost Customer
895,13732.0,27,17,263.69,1,Low-Value
359,13179.0,618,15,263.73,0,Lost Customer
1284,14137.0,695,8,264.06,0,Lost Customer
4466,17383.0,3,35,264.09,1,Low-Value
1916,14783.0,658,13,264.1,0,Lost Customer
990,13837.0,211,17,264.49000000000007,2,Mid-Value
1859,14724.0,589,28,264.5,0,Lost Customer
2946,15840.0,58,19,264.55000000000007,1,Low-Value
1123,13973.0,286,11,264.7,2,Mid-Value
4690,17617.0,558,12,265.02,0,Lost Customer
1972,14840.0,267,16,265.13,2,Mid-Value
3572,16476.0,431,17,265.45,2,Mid-Value
4350,17267.0,126,29,266.12,1,Low-Value
291,13111.0,718,8,266.18,0,Lost Customer
4616,17542.0,269,39,266.47,2,Mid-Value
357,13177.0,64,15,266.5,1,Low-Value
4517,17437.0,529,36,266.6099999999999,0,Lost Customer
1243,14094.0,439,29,266.87,2,Mid-Value
367,13187.0,336,41,267.08,2,Mid-Value
3998,16909.0,71,11,267.36,1,Low-Value
69,12884.0,87,5,267.45,1,Low-Value
82,12898.0,463,17,267.53,2,Mid-Value
5226,18164.0,36,16,267.63,1,Low-Value
461,13283.0,59,14,267.66,1,Low-Value
4891,17823.0,420,47,267.89000000000004,2,Mid-Value
980,13827.0,57,57,268.19999999999993,1,Low-Value
1304,14158.0,39,20,268.20000000000005,1,Low-Value
2304,15188.0,724,19,268.28,0,Lost Customer
1734,14598.0,43,53,268.49,1,Low-Value
3651,16557.0,23,10,269.34999999999997,1,Low-Value
3474,16378.0,246,16,269.35,2,Mid-Value
4261,17178.0,730,16,269.71,0,Lost Customer
2662,15553.0,59,34,269.76,1,Low-Value
1659,14520.0,1,4,270.6,1,Low-Value
5067,18003.0,375,17,270.60999999999996,2,Mid-Value
3180,16078.0,283,24,270.99,2,Mid-Value
84,12900.0,421,9,271.03,2,Mid-Value
5105,18042.0,53,15,271.25,1,Low-Value
4368,17285.0,627,30,271.39,0,Lost Customer
2819,15711.0,556,16,271.5,0,Lost Customer
74,12889.0,380,16,271.59000000000003,2,Mid-Value
4901,17835.0,2,42,271.74,1,Low-Value
1462,14319.0,423,13,271.95,2,Mid-Value
1201,14052.0,19,52,271.9799999999999,1,Low-Value
2779,15670.0,296,15,272.1,2,Mid-Value
2396,15280.0,171,39,272.85999999999996,1,Low-Value
3093,15989.0,375,49,272.9699999999999,2,Mid-Value
158,12974.0,197,22,274.59999999999997,1,Low-Value
4883,17815.0,392,6,274.86,2,Mid-Value
1610,14471.0,590,28,274.88000000000005,0,Lost Customer
715,13550.0,382,31,274.88000000000005,2,Mid-Value
849,13686.0,182,20,275.32000000000005,1,Low-Value
2557,15446.0,376,68,275.40000000000003,2,Mid-Value
4878,17810.0,668,34,275.41,0,Lost Customer
2418,15302.0,729,13,275.45,0,Lost Customer
4239,17156.0,491,19,275.52000000000004,0,Lost Customer
171,12988.0,291,32,275.86999999999995,2,Mid-Value
1691,14552.0,151,70,275.87000000000006,1,Low-Value
4992,17927.0,721,9,276.30000000000007,0,Lost Customer
5122,18059.0,22,16,276.46000000000004,1,Low-Value
4264,17181.0,56,16,276.46000000000004,1,Low-Value
881,13718.0,245,10,276.55,2,Mid-Value
2107,14990.0,611,26,276.96999999999997,0,Lost Customer
3142,16039.0,423,17,277.05999999999995,2,Mid-Value
4844,17776.0,386,59,277.1699999999999,2,Mid-Value
954,13792.0,65,15,277.45,1,Low-Value
3335,16236.0,77,13,277.46,1,Low-Value
2458,15343.0,86,16,277.80000000000007,1,Low-Value
4137,17052.0,27,48,278.15999999999997,1,Low-Value
4352,17269.0,385,47,278.53,2,Mid-Value
4179,17094.0,321,11,278.7,2,Mid-Value
83,12899.0,413,12,278.9,2,Mid-Value
4822,17753.0,463,32,279.65999999999997,2,Mid-Value
4817,17748.0,526,12,279.70000000000005,0,Lost Customer
5001,17936.0,4,38,279.92,1,Low-Value
1454,14310.0,432,12,280.0,2,Mid-Value
4642,17569.0,331,23,280.49,2,Mid-Value
1388,14242.0,234,16,280.55,2,Mid-Value
4369,17286.0,21,49,280.60999999999996,1,Low-Value
4457,17374.0,218,15,280.69,2,Mid-Value
1506,14365.0,394,20,280.78000000000003,2,Mid-Value
4737,17668.0,0,12,280.84999999999997,1,Low-Value
66,12881.0,275,6,281.0,2,Mid-Value
413,13234.0,672,44,281.04999999999995,0,Lost Customer
125,12941.0,723,15,281.13000000000005,0,Lost Customer
4453,17370.0,72,21,281.29999999999995,1,Low-Value
1136,13986.0,16,11,282.33,1,Low-Value
3451,16355.0,374,27,282.7,2,Mid-Value
678,13511.0,676,5,282.76,0,Lost Customer
2460,15345.0,45,15,282.94,1,Low-Value
1161,14011.0,479,17,283.05999999999995,0,Lost Customer
653,13482.0,231,17,283.28999999999996,2,Mid-Value
3890,16799.0,431,55,283.47999999999996,2,Mid-Value
4896,17830.0,1,16,283.59999999999997,1,Low-Value
2771,15662.0,660,12,283.73,0,Lost Customer
5340,18278.0,73,17,283.84999999999997,1,Low-Value
2154,15037.0,375,35,283.96,2,Mid-Value
4889,17821.0,405,5,284.22,2,Mid-Value
1057,13905.0,732,10,284.3,0,Lost Customer
836,13673.0,18,38,284.35,1,Low-Value
2968,15863.0,25,53,284.39000000000004,1,Low-Value
2469,15354.0,602,3,284.4,0,Lost Customer
3525,16429.0,105,2,284.55,1,Low-Value
686,13519.0,77,15,284.61000000000007,1,Low-Value
361,13181.0,380,14,284.69,2,Mid-Value
3469,16373.0,381,20,284.8,2,Mid-Value
3544,16448.0,197,38,284.87,1,Low-Value
2832,15724.0,200,15,285.05,1,Low-Value
533,13358.0,268,18,285.46000000000004,2,Mid-Value
4834,17766.0,380,20,285.71,2,Mid-Value
1656,14517.0,32,15,285.90000000000003,1,Low-Value
1308,14162.0,173,24,286.06000000000006,1,Low-Value
2452,15337.0,410,16,286.15999999999997,2,Mid-Value
1717,14581.0,16,36,286.19999999999993,1,Low-Value
3478,16382.0,407,36,286.24999999999994,2,Mid-Value
998,13845.0,64,8,286.42,1,Low-Value
2269,15153.0,30,19,286.5,1,Low-Value
3023,15919.0,19,58,286.61999999999983,1,Low-Value
3046,15942.0,133,11,286.68,1,Low-Value
5249,18187.0,631,19,286.93,0,Lost Customer
4572,17497.0,389,7,287.25,2,Mid-Value
2457,15342.0,129,17,287.34999999999997,1,Low-Value
3528,16432.0,63,8,287.4,1,Low-Value
718,13553.0,674,45,287.45000000000005,0,Lost Customer
4392,17309.0,94,32,287.49,1,Low-Value
3782,16690.0,71,14,287.99,1,Low-Value
2540,15429.0,26,51,288.1399999999999,1,Low-Value
1630,14491.0,174,14,288.22999999999996,1,Low-Value
4060,16971.0,37,29,288.41999999999996,1,Low-Value
207,13025.0,731,11,288.46999999999997,0,Lost Customer
2613,15504.0,80,44,288.5799999999999,1,Low-Value
3960,16870.0,468,17,288.72,2,Mid-Value
4863,17795.0,179,34,289.37999999999994,1,Low-Value
5174,18111.0,588,19,290.02,0,Lost Customer
5191,18128.0,536,27,290.04,0,Lost Customer
2488,15374.0,128,9,290.82,1,Low-Value
832,13669.0,50,10,290.85,1,Low-Value
840,13677.0,404,47,291.0999999999999,2,Mid-Value
3385,16286.0,476,15,291.15,0,Lost Customer
5217,18155.0,74,19,291.21999999999997,1,Low-Value
4972,17907.0,640,13,291.76,0,Lost Customer
1399,14253.0,492,11,292.0,0,Lost Customer
902,13739.0,17,6,292.2,1,Low-Value
5227,18165.0,176,8,292.38,1,Low-Value
4968,17903.0,393,32,292.39,2,Mid-Value
4083,16997.0,287,5,292.5,2,Mid-Value
604,13432.0,570,56,292.79999999999995,0,Lost Customer
3947,16857.0,442,9,292.8,2,Mid-Value
1841,14706.0,618,19,293.3399999999999,0,Lost Customer
4976,17911.0,8,27,293.39000000000004,1,Low-Value
5224,18162.0,731,33,293.41,0,Lost Customer
3294,16194.0,374,7,293.65,2,Mid-Value
3741,16649.0,519,19,293.8299999999999,0,Lost Customer
4462,17379.0,10,55,294.2800000000001,1,Low-Value
3605,16509.0,296,10,294.3,2,Mid-Value
5133,18070.0,668,8,294.3,0,Lost Customer
1231,14082.0,364,43,294.46,2,Mid-Value
3532,16436.0,667,35,294.53999999999996,0,Lost Customer
1346,14200.0,616,16,294.55,0,Lost Customer
5173,18110.0,19,44,294.71000000000004,1,Low-Value
2983,15878.0,561,40,294.77,0,Lost Customer
2621,15512.0,155,26,295.18000000000006,1,Low-Value
4251,17168.0,498,17,295.2,0,Lost Customer
3128,16025.0,29,18,295.29999999999995,1,Low-Value
3535,16439.0,721,8,295.40000000000003,0,Lost Customer
1330,14184.0,66,15,295.49,1,Low-Value
3574,16478.0,24,14,295.6,1,Low-Value
